Département;Participation;Sarkozy;Royal;Bayrou;Le Pen;Besancenot;Villiers;Buffet;Voynet;Laguiller;Bové;Nihous;Schivardi
AIN;86.0;34.5;20.7;19.6;12.3;3.4;2.5;1.3;1.7;1.2;1.3;1.2;0.3
AISNE;83.6;29.3;23.4;13.5;17.3;5.5;2.6;2.0;1.2;2.3;1.1;1.3;0.4
ALLIER;85.4;28.1;25.6;18.3;10.1;5.1;2.4;4.6;1.3;1.6;1.2;1.4;0.4
ALPES DE HAUTE PROVENCE;86.4;30.0;25.2;16.6;11.2;4.3;2.2;2.7;1.7;1.2;2.2;2.0;0.6
HAUTES ALPES;86.0;30.7;24.5;19.8;8.9;4.2;2.2;1.9;2.1;1.0;2.5;2.0;0.4
ALPES MARITIMES;83.0;43.6;17.9;15.0;13.5;2.4;1.8;1.8;1.4;0.8;1.1;0.5;0.2
ARDECHE;86.9;27.6;25.1;18.6;11.4;4.6;2.5;2.5;1.7;1.2;2.2;2.3;0.5
ARDENNES;82.2;29.0;24.6;14.2;16.2;5.4;2.6;1.9;1.3;2.2;1.0;1.3;0.3
ARIEGE;87.2;21.9;35.0;15.7;9.7;5.1;1.7;3.0;1.5;1.2;2.7;1.8;0.7
AUBE;83.6;35.2;19.7;16.1;15.4;3.7;3.0;1.7;1.4;1.5;0.9;1.3;0.3
AUDE;86.5;26.3;30.7;13.9;13.2;4.1;1.8;2.8;1.2;1.0;1.7;1.3;2.0
AVEYRON;88.2;28.7;27.2;21.6;7.4;4.0;2.0;1.5;1.4;1.0;3.0;1.8;0.5
BOUCHES DU RHONE;83.8;34.2;23.8;15.1;13.9;3.5;1.7;3.0;1.3;1.0;1.4;0.9;0.4
CALVADOS;86.4;29.3;25.2;20.2;9.0;5.2;2.5;1.3;1.7;1.6;1.4;2.4;0.3
CANTAL;85.8;33.4;24.0;20.1;8.2;3.9;2.0;1.4;1.2;1.3;1.5;2.5;0.6
CHARENTE;84.8;27.1;30.3;17.1;9.2;4.7;3.2;1.8;1.4;1.4;1.5;1.8;0.4
CHARENTE MARITIME;84.8;30.1;27.7;17.2;8.9;4.1;3.7;1.5;1.5;1.2;1.3;2.4;0.4
CHER;82.4;28.5;23.6;18.0;11.7;5.2;2.8;3.9;1.4;1.8;1.3;1.5;0.4
CORREZE;87.0;28.0;29.7;18.0;7.6;4.5;2.1;3.9;1.2;1.2;1.4;1.9;0.5
CORSE SUD;75.6;37.5;19.6;13.0;15.9;4.2;1.4;3.2;1.4;0.8;1.1;1.5;0.3
HAUTE CORSE;75.4;36.5;23.7;11.8;14.7;3.6;1.2;3.5;1.4;0.9;1.1;1.5;0.3
COTE D'OR;85.6;32.1;24.1;19.3;11.7;3.9;2.3;1.3;1.6;1.4;1.2;0.9;0.4
COTES D'ARMOR;88.3;25.8;30.1;21.1;7.4;5.1;2.0;2.3;1.9;1.4;1.5;1.2;0.3
CREUSE;83.4;27.4;29.0;16.7;8.7;5.5;2.6;2.9;1.3;1.6;1.7;2.2;0.5
DORDOGNE;88.3;26.9;29.8;17.5;9.5;4.3;2.2;3.3;1.3;1.2;1.7;1.7;0.5
DOUBS;85.8;32.4;24.9;17.0;12.2;4.2;2.2;1.1;1.9;1.5;1.5;1.0;0.3
DROME;86.2;29.9;24.2;18.6;12.0;4.1;2.6;1.9;1.9;1.1;1.8;1.7;0.4
EURE;84.4;31.4;21.2;18.2;13.2;5.0;2.8;1.9;1.4;1.7;1.2;1.6;0.4
EURE ET LOIR;84.0;33.1;22.2;18.2;12.3;4.0;3.2;1.4;1.4;1.5;1.0;1.4;0.4
FINISTERE;87.4;27.3;29.2;22.7;6.5;5.0;1.7;1.7;1.9;1.2;1.5;1.1;0.3
GARD;86.2;30.5;23.3;15.7;15.4;4.2;2.0;2.9;1.3;1.2;1.7;1.3;0.5
HAUTE GARONNE;87.5;26.7;33.1;19.4;8.5;3.8;1.5;1.7;1.6;1.0;1.6;0.8;0.4
