CODE INSEE;NOM DE LA COMMUNE;CODE POSTAL;LIBELLE D'ACHEMINEMENT;Y Centroid;Nom Region;Nom Dept;statut;Code Region;Code Commune;Z Moyen;code;X Centroid;geom_x_y;geom;Id Geofla;X Chef Lieu;Code Canton;Superficie;Population;Nom Commune;Code Arrondissement;Y Chef Lieu;Code commune complet
72181;LE MANS;72000;LE MANS;67690;PAYS DE LA LOIRE;SARTHE;Préfecture;52;181;65;72;4911;47.9885256718,0.200030493539;"{""type"": ""Polygon"", ""coordinates"": [[[0.2169210291, 47.9279597527], [0.2094778968, 47.932420765], [0.205619954, 47.9420635482], [0.1917793886, 47.9508466571], [0.1782893425, 47.9544676896], [0.172666087, 47.9671557749], [0.1505573439, 47.9805797573], [0.1525634953, 47.9836810831], [0.1667804486, 47.9937319137], [0.162321622, 48.0073478916], [0.1453457139, 48.0153296945], [0.140223022, 48.0147550253], [0.1371522996, 48.020911741], [0.1402343688, 48.0304508124], [0.1483310931, 48.0266851899], [0.1730100917, 48.0258219502], [0.1735832366, 48.0324361708], [0.1824288597, 48.0352416338], [0.1934253178, 48.0218083524], [0.2011035815, 48.0187495908], [0.2181353061, 48.0243762042], [0.2178921885, 48.0210837892], [0.2269805501, 48.0233603866], [0.2391931515, 48.0179927637], [0.2439708666, 48.0187711175], [0.2516785722, 48.0148183768], [0.2364059517, 47.9973338529], [0.2431701019, 47.9882628664], [0.2439331413, 47.9849400232], [0.2523669644, 47.9813734799], [0.2368976076, 47.9688724967], [0.2426139623, 47.9633787518], [0.2277380983, 47.9565902856], [0.2334633422, 47.9444965516], [0.2197682177, 47.941381685], [0.2170975943, 47.9353210879], [0.2211079089, 47.9296257829], [0.2169210291, 47.9279597527]]]}";5969;4909;99;5260;142.3;LE MANS;3;67707;72181
93008;BOBIGNY;93000;BOBIGNY;68676;ILE-DE-FRANCE;SEINE-SAINT-DENIS;Préfecture;11;8;48;93;6588;48.907688244,2.43863982727;"{""type"": ""Polygon"", ""coordinates"": [[[2.4277240403, 48.8958876331], [2.414487867, 48.9048976876], [2.4100569957, 48.9166927706], [2.4134938437, 48.9192636438], [2.4565913468, 48.910977524], [2.4752143783, 48.9164113537], [2.4698614052, 48.904768869], [2.4412832866, 48.8982808741], [2.4277240403, 48.8958876331]]]}";12799;6588;7;674;48.5;BOBIGNY;1;68679;93008
50502;ST LO;50000;ST LO;68977;BASSE-NORMANDIE;MANCHE;Préfecture;25;502;68;50;4024;49.1099624249,-1.07755642702;"{""type"": ""Polygon"", ""coordinates"": [[[-1.0917430398, 49.0852721574], [-1.09962125, 49.0888659726], [-1.1129264234, 49.0882760774], [-1.1250224499, 49.0947129562], [-1.12491413, 49.1009290591], [-1.1194889592, 49.1102986146], [-1.1023903335, 49.1177799757], [-1.1014971447, 49.1212226433], [-1.1104688081, 49.1238241842], [-1.0841712895, 49.1253777821], [-1.0585754178, 49.1390466007], [-1.0500911987, 49.1375861544], [-1.046792014, 49.1322416223], [-1.0378481155, 49.1178319263], [-1.0361443341, 49.1054742795], [-1.0428833544, 49.0972981361], [-1.052839115, 49.096800647], [-1.0648302948, 49.0904444589], [-1.0786570746, 49.0935140518], [-1.0918038706, 49.0886463426], [-1.0917430398, 49.0852721574]]]}";2901;4014;95;2326;18.8;SAINT-LO;4;68982;50502
47001;AGEN;47000;AGEN;63477;AQUITAINE;LOT-ET-GARONNE;Préfecture;72;1;65;47;5102;44.2028139104,0.625583928763;"{""type"": ""Polygon"", ""coordinates"": [[[0.6134070709, 44.1785163568], [0.6022061999, 44.2132475685], [0.6052352015, 44.214457348], [0.6157775793, 44.2210174317], [0.6377051353, 44.2191772272], [0.6531438246, 44.2152490613], [0.6556106797, 44.2128164217], [0.6400835724, 44.2017227532], [0.6468092009, 44.193177485], [0.6305891942, 44.1871643228], [0.6224555756, 44.1793702146], [0.6134070709, 44.1785163568]]]}";19061;5097;99;1152;33.9;AGEN;1;63477;47001
1053;BOURG EN BRESSE;1000;BOURG EN BRESSE;65697;RHONE-ALPES;AIN;Préfecture;82;53;239;01;8731;46.2051520382,5.24602125501;"{""type"": ""Polygon"", ""coordinates"": [[[5.2567396536, 46.1761400437], [5.2371631257, 46.1759415816], [5.2344407711, 46.182328088], [5.2216841227, 46.1920550225], [5.2069969499, 46.1913231885], [5.2108990464, 46.2112098939], [5.215885446, 46.211941603], [5.2179603766, 46.2221706981], [5.2248366059, 46.2272252271], [5.2451532125, 46.227618759], [5.2590980688, 46.223631147], [5.2727109009, 46.2282695999], [5.2872258204, 46.2258526238], [5.2820516874, 46.2116329088], [5.2741985909, 46.2084480653], [5.2743368475, 46.1936442192], [5.25454501, 46.1792194783], [5.2567396536, 46.1761400437]]]}";5244;8717;99;2400;39.6;BOURG-EN-BRESSE;2;65696;1053
66136;PERPIGNAN;66100;PERPIGNAN;61774;LANGUEDOC-ROUSSILLON;PYRENEES-ORIENTALES;Préfecture;91;136;38;66;6917;42.6965954131,2.89936953979;"{""type"": ""Polygon"", ""coordinates"": [[[2.8860386018, 42.6499805161], [2.8756394033, 42.6547968924], [2.8677139977, 42.6530521937], [2.860119931, 42.6555419298], [2.8528292513, 42.663048357], [2.8442255122, 42.6642589141], [2.8490594832, 42.6698850604], [2.8420905074, 42.6743973718], [2.8387369096, 42.6842463483], [2.8269732008, 42.689622531], [2.8264457889, 42.690745546], [2.842754887, 42.6945919092], [2.8699002668, 42.6994475191], [2.8742756714, 42.7054048192], [2.8672193845, 42.7097749618], [2.8525352579, 42.7310918688], [2.8558138487, 42.7369047232], [2.8664018, 42.7419805877], [2.8906152359, 42.7488145423], [2.8960411793, 42.7436858479], [2.8951874311, 42.7368156153], [2.9107022209, 42.7290971556], [2.9245548431, 42.7305104474], [2.9301962561, 42.7146627714], [2.9490633562, 42.7230621753], [2.9580510437, 42.7226434861], [2.9608107202, 42.7171059625], [2.9732619035, 42.7131447014], [2.9822475951, 42.7136770447], [2.9768727255, 42.7084881493], [2.9741136365, 42.6896333782], [2.9615260036, 42.6864378198], [2.9308056888, 42.694316409], [2.9221060022, 42.6921256287], [2.9186965808, 42.6898034305], [2.9201852359, 42.6796178752], [2.9307265205, 42.668647456], [2.9298412091, 42.6652753539], [2.9260888613, 42.655787661], [2.9297089225, 42.653749228], [2.9065332733, 42.6518794225], [2.8944662568, 42.6569299232], [2.8899732747, 42.6560263317], [2.8860386018, 42.6499805161]]]}";3560;6913;99;6831;117.9;PERPIGNAN;2;61775;66136
37261;TOURS;37000;TOURS;67023;CENTRE;INDRE-ET-LOIRE;Préfecture;24;261;71;37;5262;47.3986382281,0.696526376417;"{""type"": ""Polygon"", ""coordinates"": [[[0.7046303485, 47.3501800758], [0.6992219506, 47.3539276508], [0.6900243728, 47.3613191879], [0.65657986, 47.3665484033], [0.660394122, 47.3751360154], [0.6658720122, 47.3799563273], [0.6645028752, 47.3949508306], [0.6796393356, 47.4028369025], [0.6727881393, 47.4255928845], [0.6753040779, 47.4355045332], [0.6822572643, 47.4392275431], [0.6909838824, 47.4390948567], [0.6931542776, 47.4364722207], [0.7104048309, 47.4387491878], [0.7343301537, 47.4288701209], [0.7268220517, 47.4065877082], [0.729528129, 47.4003275682], [0.7087109548, 47.3986043341], [0.7061952771, 47.3932322841], [0.714754076, 47.3803694042], [0.734363471, 47.3791322786], [0.7373305608, 47.3766864709], [0.7172679913, 47.3733311907], [0.7046303485, 47.3501800758]]]}";33494;5256;99;3335;135.2;TOURS;2;67016;37261
17300;LA ROCHELLE;17000;LA ROCHELLE;65709;POITOU-CHARENTES;CHARENTE-MARITIME;Préfecture;54;300;9;17;3780;46.1620643972,-1.17465702836;"{""type"": ""Polygon"", ""coordinates"": [[[-1.1492113543, 46.1330348225], [-1.1568771113, 46.1373170471], [-1.1715105483, 46.1392147828], [-1.1702634604, 46.1460146821], [-1.1620631632, 46.1501029903], [-1.1631118628, 46.1534911424], [-1.1680480873, 46.1542478125], [-1.1830666024, 46.1527936179], [-1.2065936544, 46.146910349], [-1.2116078293, 46.1473285835], [-1.226103741, 46.1504058858], [-1.2306596387, 46.1519405309], [-1.2382817795, 46.1565438577], [-1.2404601212, 46.1597089365], [-1.2394282884, 46.1631472048], [-1.2354701214, 46.1653329689], [-1.2217234624, 46.1690101816], [-1.2158743063, 46.1822310343], [-1.2065523958, 46.1849302901], [-1.2012448093, 46.1908889896], [-1.1869243503, 46.1825805703], [-1.1732509391, 46.1820287756], [-1.1731836917, 46.1719407306], [-1.168873662, 46.1703947547], [-1.1382924669, 46.179646922], [-1.1164985439, 46.1689511631], [-1.1206065594, 46.1600645588], [-1.1110638565, 46.1489227471], [-1.1297568857, 46.1488934094], [-1.1369760835, 46.1401993987], [-1.1463759925, 46.139450576], [-1.1492113543, 46.1330348225]]]}";27631;3797;98;3168;74.7;LA ROCHELLE;3;65705;17300
89024;AUXERRE;89000;AUXERRE;67438;BOURGOGNE;YONNE;Préfecture;26;24;147;89;7435;47.793488225,3.58168281761;"{""type"": ""Polygon"", ""coordinates"": [[[3.5903076156, 47.7405529086], [3.5918374207, 47.7377279506], [3.5875195837, 47.7369936395], [3.5705742479, 47.7407137618], [3.5686645464, 47.754314089], [3.526639759, 47.764240286], [3.5315888912, 47.779932856], [3.5352060598, 47.7890698672], [3.5521985972, 47.8087739236], [3.5598270055, 47.8176120783], [3.5567680937, 47.8241068639], [3.5699186262, 47.829083839], [3.5851879163, 47.8283786115], [3.594586556, 47.831004416], [3.5988006054, 47.837265161], [3.6262350333, 47.8523232796], [3.6375233472, 47.8302478253], [3.6280168681, 47.8277160316], [3.6093614785, 47.8116318288], [3.6153481175, 47.7955257656], [3.623963368, 47.7920870205], [3.6228233831, 47.7859817305], [3.6105390616, 47.7803580466], [3.6100745594, 47.7736190376], [3.6010369589, 47.7654842126], [3.587084759, 47.7471756439], [3.5903076156, 47.7405529086]]]}";18164;7424;98;4979;36.7;AUXERRE;1;67442;89024
89024;AUXERRE;89290;AUXERRE;67438;BOURGOGNE;YONNE;Préfecture;26;24;147;89;7435;47.793488225,3.58168281761;"{""type"": ""Polygon"", ""coordinates"": [[[3.5903076156, 47.7405529086], [3.5918374207, 47.7377279506], [3.5875195837, 47.7369936395], [3.5705742479, 47.7407137618], [3.5686645464, 47.754314089], [3.526639759, 47.764240286], [3.5315888912, 47.779932856], [3.5352060598, 47.7890698672], [3.5521985972, 47.8087739236], [3.5598270055, 47.8176120783], [3.5567680937, 47.8241068639], [3.5699186262, 47.829083839], [3.5851879163, 47.8283786115], [3.594586556, 47.831004416], [3.5988006054, 47.837265161], [3.6262350333, 47.8523232796], [3.6375233472, 47.8302478253], [3.6280168681, 47.8277160316], [3.6093614785, 47.8116318288], [3.6153481175, 47.7955257656], [3.623963368, 47.7920870205], [3.6228233831, 47.7859817305], [3.6105390616, 47.7803580466], [3.6100745594, 47.7736190376], [3.6010369589, 47.7654842126], [3.587084759, 47.7471756439], [3.5903076156, 47.7405529086]]]}";18164;7424;98;4979;36.7;AUXERRE;1;67442;89024
